Row,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15
120000,209828100000.0,47598.44,20.08683,38756660000000.0,20071840.0,1063992.0,482090100000000.0,1393550000000000.0,5073079000.0,96462770.0,5.981162e+16,1885983.0,11995940000.0,410254000000.0,57662080.0
600000,209828100000.0,47598.44,20.03838,241133800000.0,10613050.0,1052673.0,1946468000.0,82620600000000.0,768776400.0,95221300.0,497743000000000.0,2243.726,1146500000.0,208926400000.0,7020291.0
3000000,209828100000.0,47598.44,20.03838,215072100000.0,10599940.0,1042855.0,1946246000.0,82620560000000.0,526813900.0,92826420.0,245957100.0,1708.188,1054760.0,87665510000.0,778855.1
120000,329543900000.0,105172.9,20.12461,33213650000000.0,16532170.0,1055883.0,80523920000000.0,127323300000000.0,5970709000.0,96974450.0,2.979451e+17,14355980.0,13414290000.0,672990500000.0,40442410.0
600000,329543900000.0,104773.3,20.11034,224840100000.0,9125796.0,1055669.0,1215998000.0,23013940000000.0,5059082000.0,94784090.0,417210000000000.0,2381.69,838121000.0,167673400000.0,6700493.0
3000000,329543500000.0,102062.0,20.05438,194309900000.0,9120596.0,1033770.0,1215445000.0,23013800000000.0,240073800.0,91661800.0,242208300.0,1316.993,2296735.0,86027070000.0,2136359.0
120000,356437000000.0,106652.1,20.11931,53819760000000.0,17480390.0,1065703.0,717572300000000.0,1.022634e+18,4778610000.0,96550030.0,6.153181e+17,23576090.0,13107800000.0,753076500000.0,38799870.0
600000,356437000000.0,106200.7,20.05858,234400300000.0,8799319.0,1063794.0,1357193000.0,489568900000000.0,3819021000.0,92036280.0,172210800000000.0,2102.875,1323464000.0,112961500000.0,4614492.0
3000000,356436500000.0,103792.1,20.02972,213915700000.0,8788909.0,1035282.0,1356995000.0,488644900000000.0,425459100.0,91935390.0,303620900.0,1835.364,3822895.0,22246840000.0,1243099.0
120000,358600100000.0,119049.1,20.11202,31563910000000.0,21516980.0,1066325.0,148120200000000.0,1.296403e+18,5358331000.0,96389190.0,4.018126e+16,21122580.0,10005080000.0,325950500000.0,45087780.0
600000,358600100000.0,118573.8,20.09831,258970500000.0,10065120.0,1056655.0,1576100000.0,295495800000000.0,4097359000.0,93039660.0,101163300000.0,2424.844,2022281000.0,171074400000.0,6579903.0
3000000,358599500000.0,115652.0,20.03275,226097500000.0,10056770.0,1046583.0,1575610000.0,294254300000000.0,281719800.0,91810450.0,109060200.0,1927.94,2184746.0,77027120000.0,884485.6
120000,369309600000.0,116848.4,20.11956,33027810000000.0,18555470.0,1065467.0,119567700000000.0,1.975117e+18,6133756000.0,96610290.0,1.321156e+18,4110120.0,13589610000.0,464560700000.0,47790480.0
600000,369309300000.0,116658.1,20.05834,252222800000.0,9938504.0,1059866.0,351717900.0,175637000000000.0,542205100.0,94301920.0,134806400000000.0,2390.073,1351395000.0,79766280000.0,7043230.0
3000000,369307800000.0,115428.8,20.04128,230019800000.0,9922202.0,1047844.0,351182900.0,174709700000000.0,350547200.0,91901940.0,168423900.0,1942.362,1805277.0,27442360000.0,880061.9
